#TYPE System.Management.Automation.PSCustomObject
"HighLow","Date","Price"
"High","10/12/2017 9:31:00 AM","2550"
"Low","10/12/2017 9:46:00 AM","2547.25"
"High","10/12/2017 10:35:00 AM","2552.25"
"Low","10/12/2017 10:55:00 AM","2550"
"High","10/12/2017 12:08:00 PM","2553.25"
"Low","10/12/2017 12:48:00 PM","2550.5"
"High","10/12/2017 1:38:00 PM","2553.25"
"Low","10/12/2017 2:54:00 PM","2548.75"
"High","10/12/2017 3:14:00 PM","2551.25"
"Low","10/12/2017 3:52:00 PM","2546.25"
"High","10/13/2017 9:30:00 AM","2554.25"
"Low","10/13/2017 9:45:00 AM","2550.25"
"High","10/13/2017 10:30:00 AM","2555.5"
"Low","10/13/2017 10:52:00 AM","2553"
"High","10/13/2017 11:12:00 AM","2555.25"
"Low","10/13/2017 11:34:00 AM","2552"
"High","10/13/2017 1:26:00 PM","2555.5"
"Low","10/13/2017 2:45:00 PM","2552.25"
"High","10/13/2017 3:10:00 PM","2554.5"
"Low","10/13/2017 3:58:00 PM","2550.25"
"Low","10/16/2017 9:30:00 AM","2554.5"
"High","10/16/2017 9:45:00 AM","2557.75"
"Low","10/16/2017 10:21:00 AM","2552"
"High","10/16/2017 10:24:00 AM","2554"
"Low","10/16/2017 10:47:00 AM","2552"
"High","10/16/2017 11:29:00 AM","2554.75"
"Low","10/16/2017 12:16:00 PM","2550.75"
"Low","10/17/2017 9:35:00 AM","2554"
"High","10/17/2017 10:04:00 AM","2556.25"
"Low","10/17/2017 10:45:00 AM","2552.25"
"High","10/17/2017 11:17:00 AM","2556.25"
"Low","10/17/2017 1:32:00 PM","2552.5"
