Date,Time,Open,High,Low,Close,Volume,Count,WAP,HasGaps
9/26/2017,9:30:00,2498.5,2499,2497.5,2497.5,8881,915,2498.15,0
9/26/2017,9:31:00,2497.5,2499,2497.25,2498.25,7527,663,2498.1,0
9/26/2017,9:32:00,2498,2499,2498,2499,4044,327,2498.45,0
9/26/2017,9:33:00,2498.75,2499.5,2498.5,2499,5008,476,2499.15,0
9/26/2017,9:34:00,2499.25,2499.5,2498.75,2499,3639,379,2499.025,0
9/26/2017,9:35:00,2499.25,2499.75,2499,2499.75,3980,378,2499.425,0
9/26/2017,9:36:00,2499.75,2500.75,2499.5,2500.25,10443,988,2500.3,0
9/26/2017,9:37:00,2500.5,2500.5,2500,2500.25,3900,268,2500.35,0
9/26/2017,9:38:00,2500,2500.25,2499.5,2499.75,4653,377,2499.875,0
9/26/2017,9:39:00,2499.75,2500,2499.75,2499.75,3410,296,2499.875,0
9/26/2017,9:40:00,2500,2500.25,2499.75,2500,3333,297,2499.975,0
9/26/2017,9:41:00,2500,2500.5,2500,2500.25,3129,337,2500.225,0
9/26/2017,9:42:00,2500.25,2500.25,2499.5,2499.5,3711,300,2499.875,0
9/26/2017,9:43:00,2499.5,2499.75,2499,2499.25,4640,471,2499.4,0
9/26/2017,9:44:00,2499,2499.75,2498.75,2499.75,6354,449,2499.225,0
9/26/2017,9:45:00,2499.75,2500.25,2499,2500,6605,548,2499.7,0
9/26/2017,9:46:00,2500,2500.5,2499.5,2499.75,5321,344,2499.925,0
9/26/2017,9:47:00,2499.75,2500,2499.5,2500,3215,189,2499.85,0
9/26/2017,9:48:00,2500,2500.25,2499.75,2500,1695,113,2499.975,0
9/26/2017,9:49:00,2500.25,2500.25,2499.75,2500,1937,196,2500.125,0
9/26/2017,9:50:00,2500.25,2500.75,2500,2500.75,4049,353,2500.275,0
9/26/2017,9:51:00,2500.5,2500.75,2500,2500,4314,378,2500.525,0
9/26/2017,9:52:00,2500,2500.25,2499.5,2500,3500,323,2499.725,0
9/26/2017,9:53:00,2499.75,2501.25,2499.75,2501,7944,598,2500.825,0
9/26/2017,9:54:00,2501,2501.25,2499.75,2499.75,4842,528,2500.5,0
9/26/2017,9:55:00,2499.75,2500,2499.5,2500,3140,262,2499.75,0
9/26/2017,9:56:00,2499.75,2500,2499.25,2500,3724,319,2499.575,0
9/26/2017,9:57:00,2499.75,2500,2499.5,2499.5,1000,101,2499.65,0
9/26/2017,9:58:00,2499.5,2500,2499.5,2499.75,1959,253,2499.7,0
