"Date","Outlook"
"2009/10/20","88"
"2009/10/21","89"
"2009/10/22","89"
"2009/10/23","89"
"2009/10/26","89"
"2009/10/27","89"
"2009/10/28","88"
"2009/10/29","87"
"2009/10/30","86"
"2009/11/02","85"
"2009/11/03","84"
"2009/11/04","83"
"2009/11/05","82"
"2009/11/06","81"
"2009/11/09","80"
"2009/11/10","81"
"2009/11/11","82"
"2009/11/12","83"
"2009/11/13","84"
"2009/11/16","85"
"2009/11/17","86"
"2009/11/18","87"
"2009/11/19","88"
"2009/11/20","88"
"2009/11/23","88"
"2009/11/24","88"
"2009/11/25","88"
"2009/11/27","88"
"2009/11/30","88"
"2009/12/01","88"
"2009/12/02","88"
"2009/12/03","88"
"2009/12/04","88"
"2009/12/07","88"
"2009/12/08","88"
"2009/12/09","88"
"2009/12/10","88"
"2009/12/11","88"
"2009/12/14","88"
"2009/12/15","88"
"2009/12/16","88"
"2009/12/17","88"
"2009/12/18","88"
"2009/12/21","88"
"2009/12/22","89"
"2009/12/23","90"
"2009/12/24","91"
"2009/12/28","92"
"2009/12/29","93"
"2009/12/30","94"
"2009/12/31","95"
"2010/01/04","96"
"2010/01/05","97"
"2010/01/06","98"
"2010/01/07","99"
"2010/01/08","100"
"2010/01/11","101"
"2010/01/12","102"
"2010/01/13","103"
"2010/01/14","104"
"2010/01/15","105"
"2010/01/19","106"
"2010/01/20","107"
"2010/01/21","107"
"2010/01/22","107"
"2010/01/25","106"
"2010/01/26","105"
"2010/01/27","104"
"2010/01/28","103"
"2010/01/29","102"
"2010/02/01","101"
"2010/02/02","100"
"2010/02/03","99"
"2010/02/04","98"
"2010/02/05","97"
"2010/02/08","96"
"2010/02/09","95"
"2010/02/10","94"
"2010/02/11","93"
"2010/02/12","92"
"2010/02/16","91"
"2010/02/17","90"
"2010/02/18","89"
"2010/02/19","88"
"2010/02/22","87"
"2010/02/23","86"
"2010/02/24","85"
"2010/02/25","84"
"2010/02/26","83"
"2010/03/01","82"
"2010/03/02","83"
"2010/03/03","84"
"2010/03/04","85"
"2010/03/05","86"
"2010/03/08","87"
"2010/03/09","88"
"2010/03/10","89"
"2010/03/11","90"
"2010/03/12","91"
"2010/03/15","92"
"2010/03/16","93"
"2010/03/17","94"
"2010/03/18","95"
"2010/03/19","96"
"2010/03/22","97"
"2010/03/23","98"
"2010/03/24","99"
"2010/03/25","100"
"2010/03/26","101"
"2010/03/29","102"
"2010/03/30","103"
"2010/03/31","104"
"2010/04/01","105"
"2010/04/05","106"
"2010/04/06","107"
"2010/04/07","108"
"2010/04/08","109"
"2010/04/09","110"
"2010/04/12","111"
"2010/04/13","112"
"2010/04/14","113"
"2010/04/15","114"
"2010/04/16","115"
"2010/04/19","116"
"2010/04/20","117"
"2010/04/21","118"
"2010/04/22","119"
"2010/04/23","120"
"2010/04/26","121"
"2010/04/27","122"
"2010/04/28","122"
"2010/04/29","122"
"2010/04/30","122"
"2010/05/03","122"
"2010/05/04","122"
"2010/05/05","121"
"2010/05/06","120"
"2010/05/07","119"
"2010/05/10","118"
"2010/05/11","117"
"2010/05/12","116"
"2010/05/13","115"
"2010/05/14","114"
"2010/05/17","113"
"2010/05/18","112"
"2010/05/20","111"
"2010/05/21","110"
"2010/05/24","109"
"2010/05/25","108"
"2010/05/26","107"
"2010/05/27","106"
"2010/05/28","105"
"2010/06/01","104"
"2010/06/02","103"
"2010/06/03","104"
"2010/06/04","105"
"2010/06/07","105"
"2010/06/08","105"
"2010/06/09","104"
"2010/06/10","103"
"2010/06/11","102"
"2010/06/14","101"
"2010/06/15","100"
"2010/06/16","101"
"2010/06/17","102"
"2010/06/18","103"
"2010/06/21","104"
"2010/06/22","105"
"2010/06/23","106"
"2010/06/24","107"
"2010/06/25","107"
"2010/06/28","107"
"2010/06/29","107"
"2010/06/30","106"
"2010/07/01","105"
"2010/07/02","104"
"2010/07/06","103"
"2010/07/07","102"
"2010/07/08","103"
"2010/07/09","104"
"2010/07/12","105"
"2010/07/13","106"
"2010/07/14","107"
"2010/07/15","108"
"2010/07/16","109"
"2010/07/19","110"
"2010/07/20","111"
"2010/07/21","112"
"2010/07/22","113"
"2010/07/23","114"
"2010/07/26","115"
"2010/07/27","116"
"2010/07/28","117"
"2010/07/29","118"
"2010/07/30","119"
"2010/08/02","120"
"2010/08/03","121"
"2010/08/04","122"
"2010/08/05","123"
"2010/08/06","124"
"2010/08/09","125"
"2010/08/10","126"
"2010/08/11","127"
"2010/08/12","127"
"2010/08/13","127"
"2010/08/16","127"
"2010/08/17","127"
